DayOfYear,minVal,q25,q75,meanVal
124,12.662,13.22225,13.993,13.59242857142857
125,12.554,13.209,13.862,13.497390243902439
126,12.543,13.17175,13.88025,13.507404761904763
127,12.552,13.139,13.787,13.418975609756098
128,12.529,13.0905,13.843,13.418857142857142
129,12.386,13.064,13.616,13.33551219512195
130,12.358,12.97125,13.67625,13.33557142857143
131,12.286,12.941,13.492,13.252317073170733
132,12.18,12.878499999999999,13.65125,13.244119047619048
133,12.084,12.833,13.424,13.16219512195122
134,12.01,12.8335,13.568249999999999,13.163833333333333
135,11.964,12.758,13.338,13.075658536585365
136,11.918,12.75675,13.46375,13.062690476190477
137,11.87,12.702,13.264,12.976780487804879
138,11.78,12.6615,13.35,12.963071428571428
139,11.769,12.64,13.188,12.891804878048779
140,11.715,12.58075,13.2105,12.881595238095239
141,11.667,12.531,13.098,12.790463414634146
142,11.642,12.50675,13.055,12.781261904761905
143,11.61,12.427,13.019,12.696365853658538
144,11.514,12.38725,12.9795,12.690714285714286
145,11.401,12.348,12.946,12.613463414634147
146,11.397,12.32375,12.97675,12.616142857142858
147,11.385,12.233,12.853,12.527682926829268
148,11.347,12.21425,12.917,12.537095238095239
149,11.297,12.129,12.814,12.448731707317073
150,11.241,12.112,12.844750000000001,12.447380952380952
151,11.197,12.079,12.75,12.358658536585365
152,11.132,11.9575,12.706249999999999,12.270761904761903
153,11.015,11.89,12.567,12.159219512195122
154,11.062,11.804,12.533,12.151785714285714
155,11.082,11.748,12.439,12.065365853658538
156,11.058,11.7055,12.449,12.052309523809523
157,11.031,11.613,12.347,11.961829268292682
158,10.965,11.54575,12.405999999999999,11.94442857142857
159,10.926,11.45,12.254,11.858219512195122
160,10.93,11.38275,12.3085,11.84702380952381
161,10.871,11.26,12.191,11.756219512195122
162,10.829,11.23525,12.223500000000001,11.7375
163,10.778,11.148,12.158,11.660853658536587
164,10.767,11.091249999999999,12.12875,11.641642857142857
165,10.741,10.997,11.999,11.542926829268293
166,10.64,10.93825,12.02525,11.525809523809524
167,10.588,10.88,11.821,11.42909756097561
168,10.407,10.8205,11.89375,11.4065
169,10.399,10.767,11.826,11.308926829268293
170,10.315,10.705,11.79675,11.273595238095238
171,10.131,10.68,11.668,11.180829268292683
172,10.103,10.561,11.7135,11.13509523809524
173,10.014,10.483,11.58,11.042756097560975
174,9.97,10.413,11.663499999999999,11.01495238095238
175,9.814,10.301,11.514,10.901658536585366
176,9.694,10.266749999999998,11.49275,10.864261904761904
177,9.645,10.106,11.346,10.760951219512195
178,9.501,10.029250000000001,11.372,10.712214285714285
179,9.328,9.878,11.304,10.600000000000001
180,9.231,9.8565,11.25,10.548976190476191
181,9.257,9.753,11.069,10.443756097560977
182,9.022,9.5775,10.96875,10.283142857142858
183,8.943,9.452,10.809,10.146878048780488
184,8.812,9.38575,10.780249999999999,10.10145238095238
185,8.687,9.269,10.67,9.999756097560976
186,8.646,9.14525,10.57775,9.935238095238097
187,8.596,9.084,10.416,9.81790243902439
188,8.431,8.98725,10.35325,9.745119047619047
189,8.262,8.909,10.242,9.648268292682927
